display,manufacturer,year,peak_nm,fwhm_nm,sharpness,confidence,vote_ratio
Samsung Galaxy Tab S7,Samsung Electric Company,2024,633.0,23.66,12.14,1.0,1/1
ED343CUR X,Acer Technologies,2024,630.0,24.72,12.7,1.0,1/1
X71QH,HKC OVERSEAS LIMITED,2024,630.0,27.6,10.79,1.0,1/1
N140HCE-EN2,Chimei Innolux Corporation,2024,630.0,25.19,10.35,1.0,2/2
G4Q,XDM Ltd.,2024,630.0,23.95,12.56,1.0,3/3
G27H4,HKC OVERSEAS LIMITED,2024,630.0,28.7,10.69,1.0,1/1
B160QAN02.M,Lenovo Group Limited,2024,631.0,9.06,24.45,1.0,3/3
MNF601EA1-1,California Institute of Technology,2024,633.0,26.74,10.36,1.0,1/1
MNG007DA2-2,California Institute of Technology,2024,633.0,23.41,11.29,1.0,1/1
G4,XDM Ltd.,2024,630.0,23.07,13.47,1.0,10/10
LED MONITOR,XDM Ltd.,2024,630.0,24.37,12.91,1.0,4/5
28072,AU Optronics,2024,633.0,23.1,11.54,1.0,1/1
BenQ RD280U,BenQ Corporation,2024,633.0,23.56,12.53,1.0,1/1
U27V4G6B,AOC,2024,630.0,25.67,11.03,1.0,1/1
PA278CGV,ASUSTek COMPUTER INC,2024,630.0,23.92,11.85,1.0,6/6
B160QAN02.W,Lenovo Group Limited,2024,633.0,26.6,10.42,1.0,1/1
G7pro Max,XDM Ltd.,2024,630.0,23.75,12.6,1.0,1/1
FFA SMART TV,TCL Corporation,2024,633.0,22.71,12.77,1.0,3/3
TL142GDXP02-0,Thermotrex Corporation,2024,630.0,23.57,10.71,1.0,1/1
SA322Q A,Acer Technologies,2024,630.0,29.21,9.15,1.0,2/2
MNG007DA1-9,Lenovo Group Limited,2024,633.0,26.86,10.93,1.0,1/1
LEN140WQXGA+,Lenovo Group Limited,2024,633.0,25.8,10.71,1.0,1/1
NE160QDM-NY3,BOE,2024,633.0,22.87,12.48,1.0,5/5
Q27B3MA,AOC,2024,630.0,23.99,11.86,1.0,1/1
B156HAN15.K,AU Optronics,2024,633.0,27.78,9.77,1.0,1/1
B156ZAN03.2,Lenovo Group Limited,2024,633.0,24.68,12.42,1.0,3/3
24V5CE,AOC,2024,633.0,24.05,11.76,1.0,1/1
G274QPX,Microstep,2024,630.0,22.87,13.21,1.0,5/5
Gigabyte M32U,"GIGA-BYTE TECHNOLOGY CO., LTD.",2024,630.0,24.28,11.41,1.0,2/2
AG275QXN,AOC,2024,630.0,24.04,11.44,1.0,3/3
DIS-116T,Starlight Networks Inc,2024,633.0,22.29,11.26,1.0,1/1
NE156QHM-NZ3,BOE,2024,633.0,24.68,11.29,1.0,1/1
PHL24E1N5300,Philips Consumer Electronics Company,2024,630.0,24.12,11.07,1.0,1/1
PHL 276C8,Philips Consumer Electronics Company,2024,633.0,24.09,11.46,1.0,1/1
PHL 276E9Q,Philips Consumer Electronics Company,2024,633.0,24.12,13.51,1.0,3/3
C27F591,Samsung Electric Company,2024,633.0,33.34,5.74,1.0,2/2
7JXK8-LQ170R1,Sharp Corporation,2024,633.0,24.77,10.93,1.0,8/8
LG HDR QHD,LG Electronics,2024,633.0,21.7,14.52,1.0,7/9
G27H2,HKC OVERSEAS LIMITED,2024,630.0,23.78,11.9,1.0,2/2
24G4,AOC,2024,630.0,26.32,10.83,1.0,1/1
NV160WUM-NH3,BOE,2024,633.0,28.31,10.06,1.0,1/1
PHL27M1F5500P,Philips Consumer Electronics Company,2024,633.0,24.12,9.38,1.0,1/1
MSI MP271,Microstep,2024,630.0,22.5,12.93,1.0,1/1
LP140WF9-SPF1,Lenovo Group Limited,2024,630.0,22.98,10.49,1.0,4/4
B156HAN12.H,AU Optronics,2024,633.0,24.53,10.77,1.0,1/1
LQ156M1JW26,Sharp Corporation,2024,633.0,30.32,9.71,1.0,1/1
M2741,"D&M Holdings Inc, Professional Business Company",2024,630.0,27.32,11.84,1.0,1/1
Dell U4924DW,"Dell, Inc.",2024,630.0,23.1,11.38,1.0,1/1
XG27AQMR,ASUSTek COMPUTER INC,2024,630.0,22.19,12.41,1.0,5/5
OF27UT Pro,XDM Ltd.,2024,630.0,22.98,14.08,1.0,10/10
144 VRR OFF,Acer Technologies,2024,630.0,24.5,12.41,1.0,2/2
NE160QDM-NY2,BOE,2024,633.0,26.33,10.67,1.0,1/1
Redmi 238 NFS,Xiaomi Inc.,2024,633.0,24.38,11.77,1.0,1/1
G7u Pro,XDM Ltd.,2024,630.0,22.61,14.84,1.0,7/7
QHD380Hz,XDM Ltd.,2024,630.0,23.12,13.66,1.0,5/5
XS32Q,STD Computer Inc,2024,630.0,26.22,24.42,1.0,2/2
ASUS VA24EQSB,ASUSTek COMPUTER INC,2024,633.0,33.01,8.26,1.0,1/1
RV100,XDM Ltd.,2024,630.0,24.32,12.06,1.0,2/2
QHD380Hz,Xedia Corporation,2024,630.0,23.7,12.75,1.0,1/1
"MacBookPro14,3",Apple Computer Inc,2024,632.0,9.07,25.28,1.0,9/9
XV345CUR V3,Acer Technologies,2024,630.0,24.84,12.48,1.0,1/1
PL2745Q,Iiyama North America,2024,630.0,29.43,9.63,1.0,1/1
N173HCE-G33,Chimei Innolux Corporation,2024,630.0,27.04,10.17,1.0,1/1
XV275U P3,Acer Technologies,2024,633.0,28.61,20.33,1.0,1/1
FREESYNC70-40,AMD,2024,630.0,23.92,12.49,1.0,1/1
G24H2,HKC OVERSEAS LIMITED,2024,630.0,19.46,10.94,1.0,1/1
16MR70,LG Electronics,2024,630.0,25.21,10.72,1.0,1/1
CU34G2XP,AOC,2024,630.0,25.23,11.17,1.0,2/2
LG 27UP850N,LG Electronics,2024,633.0,24.92,12.37,1.0,1/1
27M2N5500,Philips Consumer Electronics Company,2024,630.0,32.4,8.73,1.0,1/1
M2553E,XDM Ltd.,2024,630.0,23.03,13.79,1.0,2/2
27GN950,LG Electronics,2024,630.0,30.44,7.95,1.0,3/3
NE156QHM-NY1,BOE,2024,633.0,27.2,10.95,1.0,1/1
24M1N3200ZA,Philips Consumer Electronics Company,2024,630.0,22.59,13.0,1.0,1/1
NE140QDM-NY1,BOE,2024,633.0,27.9,9.74,1.0,2/2
B133UAN01.0,Lenovo Group Limited,2024,633.0,22.9,11.36,1.0,6/6
G274QPF E2,Microstep,2024,630.0,24.21,10.59,1.0,1/1
"iMac19,2",Apple Computer Inc,2024,633.0,23.3,12.22,1.0,1/1
LQ156D1JW42,Sharp Corporation,2024,633.0,25.39,11.23,1.0,6/7
MSI MP241X,Microstep,2024,630.0,23.5,11.62,1.0,1/1
IG27Q,HKC OVERSEAS LIMITED,2024,630.0,27.98,10.69,1.0,3/3
G52,XDM Ltd.,2024,630.0,23.66,13.14,1.0,2/2
BenQ PD3420Q,BenQ Corporation,2024,630.0,19.13,8.48,1.0,2/2
N27U,HKC OVERSEAS LIMITED,2024,630.0,20.32,8.3,1.0,1/1
DELL U2722DE,"Dell, Inc.",2024,630.0,21.11,12.28,1.0,1/1
SDC 27X1U,SDX Business Systems Ltd,2024,633.0,25.26,9.35,1.0,1/1
HDMI1,XDM Ltd.,2024,630.0,25.75,12.55,1.0,3/3
MG27Q,HKC OVERSEAS LIMITED,2024,630.0,26.53,9.44,1.0,1/1
DP1,XDM Ltd.,2024,630.0,24.79,13.01,1.0,9/9
LG UltraFine,2-Tel B.V,2024,630.0,22.03,12.34,1.0,1/1
R27q-30,Lenovo Group Limited,2024,630.0,23.98,11.08,1.0,1/1
B160QAN02.H,AU Optronics,2024,633.0,27.76,10.33,1.0,1/1
MSI MS321UP,Microstep,2024,633.0,24.47,11.45,1.0,1/1
Q27P3C,AOC,2024,633.0,27.06,10.05,1.0,1/1
B160QAN03.H,AU Optronics,2024,633.0,29.76,9.98,1.0,1/1
DISPLAY1,XDM Ltd.,2024,630.0,22.3,15.05,1.0,2/2
XG27AQV,ASUSTek COMPUTER INC,2024,630.0,33.33,7.33,1.0,3/3
PA329C,ASUSTek COMPUTER INC,2024,633.0,22.12,14.65,1.0,3/3
MSI G281UV,Microstep,2024,633.0,24.89,11.73,1.0,1/1
XB273U Z,Acer Technologies,2024,630.0,23.92,11.36,1.0,1/1
VG27AQML1A,ASUSTek COMPUTER INC,2024,630.0,24.1,10.36,1.0,1/1
PL3480WQ,Iiyama North America,2024,630.0,29.55,10.04,1.0,1/1
S2700,"Topson Technology Co., Ltd.",2024,633.0,22.36,13.78,1.0,1/1
